("data-accessor-transformers","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=24311")
("data-binary-ieee754","0.3",Just "http://aur.archlinux.org/packages.php?ID=27809")
("data-default","0.2",Just "http://aur.archlinux.org/packages.php?ID=17830")
("data-hash","0.1.0.0",Just "http://aur.archlinux.org/packages.php?ID=25462")
("data-ivar","0.30",Just "http://aur.archlinux.org/packages.php?ID=20571")
("data-memocombinators","0.3",Just "http://aur.archlinux.org/packages.php?ID=20606")
("data-ordlist","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=28719")
("data-quotientref","0.1",Just "http://aur.archlinux.org/packages.php?ID=20926")
("data-reify","0.4",Just "http://aur.archlinux.org/packages.php?ID=26214")
("data-spacepart","20090215.0",Just "http://aur.archlinux.org/packages.php?ID=23550")
("dataenc","0.13.0.0",Just "http://aur.archlinux.org/packages.php?ID=17482")
("datetime","0.1",Just "http://aur.archlinux.org/packages.php?ID=23074")
("DBus","0.4",Just "http://aur.archlinux.org/packages.php?ID=19709")
("debian","3.35",Just "http://aur.archlinux.org/packages.php?ID=18002")
("debian-binary","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=19872")
("DebugTraceHelpers","0.12",Just "http://aur.archlinux.org/packages.php?ID=21394")
("Decimal","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=17580")
("DecisionTree","0.0",Just "http://aur.archlinux.org/packages.php?ID=23546")
("DeepArrow","0.2",Just "http://aur.archlinux.org/packages.php?ID=17831")
("delicious","0.3.3",Just "http://aur.archlinux.org/packages.php?ID=21741")
("delimited-text","0.1.3",Just "http://aur.archlinux.org/packages.php?ID=21467")
("denominate","0.5.0",Just "http://aur.archlinux.org/packages.php?ID=17737")
("dequeue","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=23723")
("derive-gadt","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=28761")
("diagrams","0.2",Just "http://aur.archlinux.org/packages.php?ID=17739")
("Diff","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=17581")
("digest","0.0.0.6",Just "http://aur.archlinux.org/packages.php?ID=23078")
("dimensional","0.8",Just "http://aur.archlinux.org/packages.php?ID=17740")
("directory","1.0.0.3",Just "http://aur.archlinux.org/packages.php?ID=25399")
("directory-tree","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=26463")
("dlist","0.5",Just "http://aur.archlinux.org/packages.php?ID=17499")
("dnsrbl","0.0.3",Just "http://aur.archlinux.org/packages.php?ID=19133")
("DOM","2.0.1",Just "http://aur.archlinux.org/packages.php?ID=25503")
("dotgen","0.4",Just "http://aur.archlinux.org/packages.php?ID=19332")
("download","0.3",Just "http://aur.archlinux.org/packages.php?ID=18181")
("download-curl","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=18200")
("DrHylo","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=22444")
("dsp","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=17741")
("dstring","0.2",Just "http://aur.archlinux.org/packages.php?ID=24346")
("dwarf","0.1",Just "http://aur.archlinux.org/packages.php?ID=23138")
("dzen-utils","0.1",Just "http://aur.archlinux.org/packages.php?ID=24788")
("EdisonAPI","1.2.1",Just "http://aur.archlinux.org/packages.php?ID=17582")
("EdisonCore","1.2.1.3",Just "http://aur.archlinux.org/packages.php?ID=17583")
("edit-distance","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=18751")
("editline","0.2.1.0",Just "http://aur.archlinux.org/packages.php?ID=20862")
("EEConfig","1.0",Just "http://aur.archlinux.org/packages.php?ID=21742")
("either-unwrap","1.0",Just "http://aur.archlinux.org/packages.php?ID=27531")
("elerea","1.0.0",Just "http://aur.archlinux.org/packages.php?ID=26151")
("elf","0.2",Just "http://aur.archlinux.org/packages.php?ID=22447")
("email-validate","0.2.5",Just "http://aur.archlinux.org/packages.php?ID=24572")
("emgm","0.3.1",Just "http://aur.archlinux.org/packages.php?ID=20070")
("Encode","1.2",Just "http://aur.archlinux.org/packages.php?ID=19720")
("encoding","0.6.0",Just "http://aur.archlinux.org/packages.php?ID=18115")
("erf","1.0.0.0",Just "http://aur.archlinux.org/packages.php?ID=23328")
("errno","0.1",Just "http://aur.archlinux.org/packages.php?ID=23070")
("esotericbot","0.0.6",Just "http://aur.archlinux.org/packages.php?ID=27815")
("Etherbunny","0.3",Just "http://aur.archlinux.org/packages.php?ID=17651")
("event-handlers","0.0.0.3",Just "http://aur.archlinux.org/packages.php?ID=22456")
("event-list","0.0.9.1",Just "http://aur.archlinux.org/packages.php?ID=19143")
("event-monad","0.0.1.0",Just "http://aur.archlinux.org/packages.php?ID=22457")
("executable-path","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=26217")
("exif","3000.0.0",Just "http://aur.archlinux.org/packages.php?ID=17486")
("explicit-exception","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=20381")
("explicit-sharing","0.5.1.2",Just "http://aur.archlinux.org/packages.php?ID=24374")
("external-sort","0.2",Just "http://aur.archlinux.org/packages.php?ID=20740")
("Extra","1.33",Just "http://aur.archlinux.org/packages.php?ID=23411")
("fad","1.0",Just "http://aur.archlinux.org/packages.php?ID=25401")
("fair-predicates","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=25018")
("fastcgi","3001.0.2.2",Just "http://aur.archlinux.org/packages.php?ID=16015")
("fckeditor","0.1",Just "http://aur.archlinux.org/packages.php?ID=19963")
("fclabels","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=23716")
("fec","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=17832")
("feed","0.3.7",Just "http://aur.archlinux.org/packages.php?ID=17474")
("feed2twitter","0.2.0",Just "http://aur.archlinux.org/packages.php?ID=27454")
("fez-conf","1.0.1",Just "http://aur.archlinux.org/packages.php?ID=23563")
("ffeed","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=21714")
("fft","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=18117")
("fgl","5.4.2.2",Just "http://aur.archlinux.org/packages.php?ID=20937")
("FieldTrip","0.2.7",Just "http://aur.archlinux.org/packages.php?ID=21107")
("FileManip","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=17584")
("filepath","1.1.0.2",Just "http://aur.archlinux.org/packages.php?ID=21717")
("filestore","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=23420")
("Finance-Quote-Yahoo","0.7.0",Just "http://aur.archlinux.org/packages.php?ID=17508")
("Finance-Treasury","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=17872")
("FindBin","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=17585")
("fingertree","0.0.1.0",Just "http://aur.archlinux.org/packages.php?ID=19403")
("fingertree-psqueue","0.1",Just "http://aur.archlinux.org/packages.php?ID=27827")
("FiniteMap","0.1",Just "http://aur.archlinux.org/packages.php?ID=17586")
("first-class-patterns","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=28749")
("fixpoint","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=18118")
("flickr","0.3.3",Just "http://aur.archlinux.org/packages.php?ID=21380")
("flock","0.1",Just "http://aur.archlinux.org/packages.php?ID=18119")
("flow2dot","0.6.1",Just "http://aur.archlinux.org/packages.php?ID=23561")
("fmlist","0.7",Just "http://aur.archlinux.org/packages.php?ID=27810")
("formlets","0.5",Just "http://aur.archlinux.org/packages.php?ID=18750")
("ForSyDe","3.0",Just "http://aur.archlinux.org/packages.php?ID=20422")
("fraction","0.0.1.0",Just "http://aur.archlinux.org/packages.php?ID=24511")
("franchise","0.0.6",Just "http://aur.archlinux.org/packages.php?ID=20966")
("free-theorems","0.3.1.2",Just "http://aur.archlinux.org/packages.php?ID=20786")
("freesound","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=21532")
("fsmActions","0.3.0",Just "http://aur.archlinux.org/packages.php?ID=27835")
("fst","0.9",Just "http://aur.archlinux.org/packages.php?ID=18120")
("FTGL","1.333",Just "http://aur.archlinux.org/packages.php?ID=18918")
("ftphs","1.0.5",Just "http://aur.archlinux.org/packages.php?ID=18121")
("full-sessions","0.4.189",Just "http://aur.archlinux.org/packages.php?ID=27616")
("funcmp","1.2",Just "http://aur.archlinux.org/packages.php?ID=18122")
("FunGEn","0.1",Just "http://aur.archlinux.org/packages.php?ID=20020")
